id,embedding_index,image_url,clip_success
130497,223,https://openaccess-cdn.clevelandart.org/1953.247/1953.247_web.jpg,True
132015,224,https://openaccess-cdn.clevelandart.org/1954.582/1954.582_web.jpg,True
135480,225,https://openaccess-cdn.clevelandart.org/1958.47/1958.47_web.jpg,True
135595,226,https://openaccess-cdn.clevelandart.org/1959.138/1959.138_web.jpg,True
124076,227,https://openaccess-cdn.clevelandart.org/1944.79/1944.79_web.jpg,True
142384,228,https://openaccess-cdn.clevelandart.org/1966.2/1966.2_web.jpg,True
144732,229,https://openaccess-cdn.clevelandart.org/1969.52/1969.52_web.jpg,True
115067,230,https://openaccess-cdn.clevelandart.org/1935.233/1935.233_web.jpg,True
142472,231,https://openaccess-cdn.clevelandart.org/1966.237/1966.237_web.jpg,True
95265,232,https://openaccess-cdn.clevelandart.org/1916.1038/1916.1038_web.jpg,True
100489,233,https://openaccess-cdn.clevelandart.org/1919.910/1919.910_web.jpg,True
136668,234,https://openaccess-cdn.clevelandart.org/1961.206/1961.206_web.jpg,True
97136,235,https://openaccess-cdn.clevelandart.org/1916.776/1916.776_web.jpg,True
111691,236,https://openaccess-cdn.clevelandart.org/1930.22/1930.22_web.jpg,True
153382,237,https://openaccess-cdn.clevelandart.org/1986.68/1986.68_web.jpg,True
125951,238,https://openaccess-cdn.clevelandart.org/1948.183/1948.183_web.jpg,True
106094,239,https://openaccess-cdn.clevelandart.org/1924.199/1924.199_web.jpg,True
127572,240,https://openaccess-cdn.clevelandart.org/1950.251/1950.251_web.jpg,True
135964,241,https://openaccess-cdn.clevelandart.org/1959.46/1959.46_web.jpg,True
153733,242,https://openaccess-cdn.clevelandart.org/1987.39/1987.39_web.jpg,True
93015,243,https://openaccess-cdn.clevelandart.org/1923.1339/1923.1339_web.jpg,True
320778,244,https://openaccess-cdn.clevelandart.org/2019.18/2019.18_web.jpg,True
676387,245,https://openaccess-cdn.clevelandart.org/2025.138/2025.138_web.jpg,True
122350,246,https://openaccess-cdn.clevelandart.org/1942.646/1942.646_web.jpg,True
151517,247,https://openaccess-cdn.clevelandart.org/1983.69/1983.69_web.jpg,True
95286,248,https://openaccess-cdn.clevelandart.org/1916.1055/1916.1055_web.jpg,True
133068,249,https://openaccess-cdn.clevelandart.org/1955.49/1955.49_web.jpg,True
123024,250,https://openaccess-cdn.clevelandart.org/1943.280/1943.280_web.jpg,True
149791,251,https://openaccess-cdn.clevelandart.org/1980.10/1980.10_web.jpg,True
155626,252,https://openaccess-cdn.clevelandart.org/1990.7/1990.7_web.jpg,True
148852,253,https://openaccess-cdn.clevelandart.org/1976.91/1976.91_web.jpg,True
